hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,school
8,68,0,5,1,62,A
7,66,0,6,7,57,A
2,57,1,4,6,32,A
1,79,1,9,4,53,A
4,99,0,7,1,82,A
8,49,1,6,9,41,A
2,97,0,7,6,75,A
3,81,1,8,9,63,A
1,44,1,7,3,17,A
1,49,1,7,3,24,A
3,89,0,8,7,69,A
5,60,1,8,5,47,A
3,63,1,6,8,43,A
1,77,1,4,1,48,A
1,42,1,8,4,17,A
8,79,0,6,5,75,A
2,70,1,7,7,54,A
3,80,0,7,3,59,A
2,76,0,9,6,56,A
3,41,1,5,6,20,A
7,41,1,8,3,34,A
1,78,0,6,0,54,A
8,88,0,9,2,83,A
2,81,0,6,1,59,A
3,83,1,4,2,63,A
9,73,1,9,4,72,A
7,81,0,6,0,70,A
4,59,0,8,4,41,A
5,72,0,6,1,54,A
2,43,1,5,3,21,A
8,84,1,7,5,83,A
4,83,0,7,8,64,A
9,50,1,9,9,51,A
5,81,0,6,5,66,A
9,86,1,6,9,83,A
4,44,0,6,1,26,A
5,64,1,6,7,49,A
9,88,1,5,4,85,A
8,99,1,8,8,95,A
3,76,1,5,9,56,A
1,73,1,5,8,50,A
3,48,1,5,3,23,A
4,45,1,7,0,26,A
2,57,0,5,8,30,A
1,53,0,6,8,28,A
7,58,0,5,7,48,A
8,53,1,6,4,46,A
7,79,1,9,4,73,A
5,56,1,8,9,45,A
1,99,0,7,5,76,A
7,74,0,8,0,71,A
7,68,0,9,8,60,A
9,81,0,8,4,77,A
3,56,0,7,6,36,A
9,98,0,6,7,96,A
1,82,1,9,4,62,A
1,47,0,9,2,22,A
4,40,1,6,5,21,A
9,84,0,6,6,79,A
6,92,0,7,3,82,A
3,75,1,5,8,55,A
1,46,1,4,3,22,A
4,85,1,5,9,70,A
9,44,0,5,1,37,A
3,63,0,8,8,42,A
9,67,1,4,3,64,A
7,82,0,6,3,72,A
4,56,1,5,9,42,A
3,76,0,7,0,56,A
5,59,0,5,1,43,A
5,42,0,6,2,24,A
3,76,1,5,6,55,A
9,65,0,9,8,64,A
4,54,1,8,4,34,A
5,90,1,8,3,78,A
4,87,1,5,1,71,A
5,47,1,8,6,33,A
7,52,1,7,5,46,A
9,87,1,4,6,86,A
7,42,1,5,7,34,A
5,40,1,7,8,26,A
7,48,1,9,9,44,A
5,70,0,7,4,53,A
3,80,1,7,4,61,A
7,93,0,9,3,84,A
2,65,1,6,2,40,A
9,56,0,5,6,53,A
1,95,0,5,4,67,A
6,73,0,5,6,58,A
7,48,0,4,1,41,A
8,95,0,7,8,89,A
9,90,0,5,8,85,A
2,52,1,8,8,33,A
2,44,1,6,4,20,A
5,80,1,9,9,66,A
5,52,1,9,8,38,A
6,40,1,4,0,25,A
3,64,1,9,1,43,A
8,86,0,6,9,79,A
1,43,1,7,4,16,A
6,75,0,9,4,67,A
4,91,0,9,5,80,A
1,49,0,8,7,26,A
7,67,0,7,0,57,A
9,96,0,5,9,91,A
4,45,0,6,8,29,A
4,66,1,9,3,48,A
6,95,0,8,7,84,A
3,51,0,6,4,33,A
6,91,1,4,0,82,A
7,87,1,8,8,81,A
3,42,1,4,7,24,A
7,85,1,9,4,81,A
3,72,1,8,3,54,A
2,49,1,5,7,25,A
4,70,1,6,8,53,A
8,54,0,6,6,48,A
9,46,1,7,3,40,A
7,75,0,8,6,66,A
1,53,1,8,5,29,A
3,95,1,4,2,73,A
9,87,0,8,9,89,A
1,53,1,6,2,27,A
9,42,1,8,0,40,A
8,88,1,7,4,83,A
1,92,1,7,7,69,A
6,85,1,6,5,72,A
5,89,1,6,7,77,A
6,42,1,6,6,32,A
5,61,0,8,1,49,A
6,58,1,8,7,44,A
5,74,0,5,3,57,A
5,51,0,9,4,34,A
4,93,0,9,7,76,A
3,44,0,4,4,22,A
3,49,0,8,4,30,A
4,80,0,5,5,67,A
9,72,0,5,6,71,A
2,52,1,7,8,29,A
9,74,1,8,6,74,A
1,90,1,5,5,67,A
1,71,0,7,9,46,A
5,50,1,4,3,34,A
6,87,0,7,9,76,A
6,77,0,4,1,64,A
3,63,1,9,8,46,A
7,74,0,9,9,68,A
9,58,0,6,4,58,A
8,45,1,6,4,41,A
6,79,0,7,2,64,A
8,93,1,6,2,84,A
5,84,0,8,0,70,A
8,83,0,7,4,77,A
4,81,1,5,2,60,A
8,74,1,8,1,65,A
2,43,1,7,8,21,A
5,72,0,9,9,60,A
9,52,0,4,5,48,A
4,95,1,6,2,77,A
6,75,1,6,6,63,A
1,93,1,6,8,68,A
9,82,0,7,8,81,A
1,58,0,8,0,29,A
5,82,1,4,1,66,A
4,51,1,6,7,36,A
3,50,1,8,0,29,A
6,45,0,5,2,32,A
2,51,1,9,6,31,A
3,66,1,5,7,45,A
5,80,1,4,4,65,A
9,64,0,6,1,57,A
2,81,0,5,2,58,A
8,42,1,9,8,38,A
2,42,0,8,9,22,A
5,59,1,8,6,48,A
7,67,1,5,0,59,A
8,62,1,6,2,58,A
1,87,1,9,8,62,A
6,42,0,4,6,30,A
1,81,1,6,1,56,A
2,63,1,7,5,40,A
1,82,0,5,8,59,A
5,79,1,7,3,65,A
9,45,0,5,9,43,A
6,59,1,4,1,48,A
1,50,1,6,2,24,A
1,71,1,9,6,51,A
2,99,1,6,3,81,A
9,66,0,5,6,62,A
3,60,1,8,4,43,A
1,83,0,7,7,63,A
5,87,0,9,7,73,A
7,89,0,9,4,76,A
6,52,1,6,6,43,A
1,61,0,6,5,34,A
5,74,0,5,7,57,A
5,86,0,8,8,72,A
6,61,1,7,4,47,A
3,67,1,8,6,52,A
5,60,0,9,0,49,A
7,85,0,8,7,77,A
5,57,1,5,2,41,A
5,70,0,8,0,56,A
5,99,0,7,5,89,A
3,85,0,9,7,65,A
1,76,1,4,2,49,A
5,60,0,9,0,48,A
9,53,0,4,2,47,A
1,64,1,7,4,37,A
3,66,0,9,7,48,A
4,79,1,9,8,61,A
1,99,1,9,8,77,A
1,99,1,9,3,75,A
8,62,0,5,7,57,A
2,70,0,6,4,45,A
8,86,0,9,2,82,A
7,99,0,5,4,90,A
2,68,0,7,1,42,A
6,86,0,9,5,74,A
6,69,0,8,0,60,A
3,90,0,9,5,73,A
2,65,1,9,4,40,A
1,59,0,4,8,32,A
6,77,0,8,6,67,A
5,58,1,9,5,46,A
9,66,0,9,6,65,A
1,64,1,9,9,42,A
7,79,0,5,4,69,A
5,77,0,7,0,62,A
5,91,1,4,8,75,A
2,62,1,9,4,40,A
3,68,0,7,3,43,A
7,54,1,4,5,42,A
6,98,0,4,4,84,A
2,42,0,4,0,15,A
6,49,0,9,1,39,A
2,54,0,5,3,26,A
2,95,0,9,7,73,A
2,55,0,9,4,34,A
3,56,1,7,6,34,A
2,58,1,6,1,37,A
4,50,1,6,7,34,A
9,87,0,6,4,85,A
6,44,1,7,3,31,A
1,44,0,8,8,18,A
8,97,1,7,5,92,A
7,53,0,4,3,44,A
3,89,0,9,7,72,A
1,65,0,8,2,40,A
5,47,0,4,9,31,A
4,44,0,9,1,25,A
8,46,1,9,6,44,A
1,55,0,4,3,27,A
1,94,1,7,3,66,A
4,53,0,6,9,34,A
8,76,0,8,8,70,A
5,95,0,9,1,81,A
2,80,1,5,0,56,A
6,43,0,9,6,30,A
5,75,1,6,7,60,A
2,87,0,9,2,64,A
3,95,1,5,1,74,A
9,56,1,7,3,52,A
7,86,1,9,1,84,A
7,75,0,8,1,66,A
6,45,0,7,4,32,A
8,55,1,5,9,47,A
4,68,0,4,4,51,A
8,75,0,9,7,67,A
4,77,0,7,8,57,A
8,76,1,9,1,71,A
9,87,1,8,0,86,A
3,96,0,9,2,77,A
3,87,1,7,5,72,A
2,49,0,6,4,24,A
3,80,0,7,7,60,A
3,75,1,5,7,55,A
5,68,1,7,1,54,A
5,53,0,8,8,39,A
2,43,0,7,3,19,A
6,83,0,7,0,68,A
5,95,1,8,1,83,A
6,81,1,7,5,72,A
1,75,0,8,4,49,A
5,89,0,5,6,74,A
9,84,1,8,8,86,A
2,52,0,5,5,26,A
1,85,1,5,5,60,A
9,57,1,8,1,54,A
9,72,0,7,6,73,A
9,60,0,9,1,61,A
6,55,1,6,6,45,A
8,54,0,9,7,57,A
1,93,1,8,0,68,A
4,96,1,7,8,72,A
1,44,1,5,7,17,A
8,45,0,4,8,37,A
1,77,0,6,4,54,A
3,42,0,9,3,22,A
4,87,1,7,0,73,A
8,51,1,6,8,47,A
6,75,1,4,3,63,A
7,72,1,4,3,63,A
8,75,0,4,3,68,A
2,72,0,9,1,52,A
8,70,0,8,3,64,A
3,60,1,6,1,38,A
7,66,1,8,7,60,A
3,66,0,4,6,45,A
7,47,1,7,9,39,A
2,95,0,4,1,75,A
6,76,1,8,1,67,A
3,71,1,4,1,48,A
3,65,1,4,0,44,A
9,41,1,8,5,37,A
7,51,1,8,5,41,A
5,61,0,7,0,47,A
7,56,0,8,0,45,A
9,46,0,7,5,43,A
1,82,1,5,5,54,A
7,43,0,5,3,32,A
6,76,0,8,2,64,A
9,77,1,4,8,74,A
1,71,1,6,5,50,A
4,50,0,4,0,33,A
9,40,0,8,2,36,A
4,64,0,7,0,45,A
3,81,0,4,2,58,A
9,91,0,5,1,85,A
2,63,1,9,4,41,A
4,92,0,8,2,78,A
6,82,0,4,6,63,A
2,95,0,9,7,76,A
8,56,0,4,6,51,A
8,47,0,7,1,36,A
1,98,0,7,9,74,A
3,84,1,7,9,65,A
9,66,1,9,6,65,A
5,91,1,6,9,79,A
6,57,0,9,2,46,A
4,66,0,8,6,47,A
2,61,1,8,0,42,A
8,55,0,5,1,46,A
6,41,0,5,9,34,A
5,44,0,8,0,27,A
9,57,1,4,8,52,A
1,42,1,8,1,17,A
5,66,1,6,1,53,A
6,93,0,5,5,84,A
5,56,1,5,6,39,A
6,55,1,9,1,44,A
6,45,1,5,3,36,A
7,90,0,8,2,81,A
4,46,1,5,4,30,A
8,89,1,5,8,80,A
7,53,0,9,1,41,A
9,77,1,8,4,77,A
7,79,0,4,7,69,A
3,54,0,5,5,34,A
3,86,1,5,3,64,A
8,86,1,5,9,78,A
5,87,1,6,7,74,A
4,72,0,8,2,52,A
8,82,1,5,3,76,A
6,66,1,6,8,53,A
2,68,1,4,4,46,A
4,96,0,4,5,77,A
4,76,0,9,1,59,A
6,44,0,9,8,35,A
6,68,1,9,7,61,A
1,71,1,6,6,46,A
8,99,0,4,8,97,A
6,92,1,9,4,86,A
3,45,1,7,4,24,A
9,41,0,9,8,37,A
2,45,0,4,4,18,A
8,85,0,7,8,84,A
3,82,1,6,0,59,A
5,43,1,7,9,29,A
6,95,1,4,9,84,A
6,68,0,5,7,60,A
4,98,0,7,2,78,A
3,64,1,4,7,46,A
4,48,0,9,4,31,A
1,95,0,5,1,68,A
4,42,1,6,8,25,A
1,65,0,6,3,37,A
1,87,1,8,6,62,A
6,82,0,6,7,69,A
5,66,1,8,6,50,A
4,75,0,6,5,55,A
3,71,1,6,6,54,A
1,40,0,6,3,12,A
6,96,0,8,9,88,A
2,92,0,9,0,69,A
8,93,0,8,4,88,A
5,55,0,7,7,41,A
7,90,1,4,9,83,A
2,87,1,4,5,62,A
8,50,1,9,4,45,A
2,65,0,4,1,42,A
4,79,1,6,9,65,A
1,94,0,9,4,73,A
5,40,0,4,9,23,A
9,65,1,8,2,61,A
1,67,1,7,1,41,A
9,92,0,5,2,85,A
8,97,0,7,3,93,A
6,48,1,4,1,35,A
7,99,1,9,3,92,A
3,98,0,4,3,79,A
1,83,0,8,5,57,A
5,61,1,7,4,49,A
2,47,0,8,6,28,A
5,97,0,8,6,85,A
8,88,1,5,2,82,A
9,81,1,8,8,80,A
2,66,0,8,6,41,A
3,78,0,5,6,57,A
3,58,1,6,1,41,A
1,64,0,6,9,43,A
8,77,1,9,2,73,A
6,60,0,5,2,46,A
8,63,1,9,5,61,A
9,63,0,9,3,61,A
5,99,0,8,3,87,A
3,99,0,9,0,78,A
5,58,1,4,5,43,A
5,89,1,7,7,75,A
5,86,1,4,7,72,A
3,41,0,4,7,18,A
4,53,0,8,4,36,A
9,92,1,7,9,92,A
9,71,1,9,5,71,A
2,81,0,7,4,58,A
8,71,0,9,3,69,A
8,67,0,6,3,58,A
7,87,0,5,3,74,A
8,78,1,8,3,72,A
3,79,1,9,5,61,A
6,81,0,9,5,74,A
1,86,0,7,4,60,A
7,79,0,8,8,70,A
1,52,1,9,7,27,A
9,51,1,6,9,49,A
1,47,0,4,5,17,A
1,54,0,9,8,34,A
7,65,0,7,4,51,A
2,51,0,6,9,27,A
5,82,0,8,3,67,A
8,90,0,9,5,84,A
8,85,1,6,3,81,A
3,66,1,6,7,45,A
7,57,1,6,6,50,A
3,84,0,6,4,67,A
6,75,0,6,9,67,A
6,88,0,6,5,77,A
3,90,1,5,6,70,A
7,66,0,8,1,59,A
3,48,1,4,8,27,A
8,94,0,8,6,88,A
4,78,0,7,7,60,A
1,40,0,7,4,14,A
4,46,1,8,2,27,A
7,65,1,6,1,54,A
4,46,1,5,1,32,A
6,91,0,4,2,79,A
9,46,1,9,0,44,A
1,47,0,9,0,20,A
5,55,0,6,6,42,A
7,42,1,8,9,33,A
1,84,1,9,7,58,A
4,49,0,8,5,31,A
6,89,0,5,6,75,A
2,46,0,5,0,22,A
5,60,0,8,0,46,A
1,92,1,6,8,68,A
6,76,1,6,4,66,A
6,70,1,6,6,60,A
4,62,0,9,5,44,A
8,96,0,4,3,90,A
4,66,0,4,0,47,A
8,95,1,6,3,88,A
8,61,0,8,9,56,A
5,78,0,5,9,66,A
4,96,1,7,7,78,A
2,66,1,5,0,43,A
3,93,0,5,1,72,A
3,88,1,7,7,69,A
4,43,0,6,1,24,A
4,63,1,5,9,47,A
5,62,0,7,8,45,A
4,87,1,9,2,72,A
8,58,1,8,2,51,A
6,81,1,8,5,73,A
6,42,1,8,2,28,A
8,66,0,6,8,56,A
7,42,0,5,7,29,A
8,67,1,5,3,60,A
2,56,0,4,5,28,A
9,70,1,8,7,66,A
1,49,1,6,3,21,A
8,88,0,7,4,84,A
4,61,0,6,6,42,A
4,69,0,5,7,51,A
5,88,0,8,6,74,A
8,60,0,4,7,50,A
5,75,0,9,3,62,A
8,92,0,6,0,90,A
1,62,1,4,5,32,A
9,77,0,5,4,71,A
6,51,1,7,3,37,A
3,64,0,6,1,42,A
8,93,0,9,0,85,A
9,96,1,5,8,96,A
6,59,1,8,1,51,A
7,88,1,6,8,82,A
1,88,1,4,5,64,A
5,81,0,6,5,67,A
5,46,0,5,1,32,A
4,68,1,5,5,50,A
6,87,1,4,2,73,A
7,68,0,9,6,62,A
9,52,0,5,9,48,A
1,42,1,6,3,20,A
6,41,0,9,8,33,A
7,55,0,4,4,43,A
3,69,1,5,9,49,A
8,77,1,5,2,70,A
5,45,1,6,0,28,A
9,84,1,5,0,82,A
5,46,0,6,3,29,A
9,44,1,8,9,42,A
4,95,0,9,9,79,A
9,46,0,6,3,41,A
5,73,0,7,8,61,A
9,71,0,5,7,69,A
3,88,1,8,3,68,A
4,52,0,9,5,38,A
9,69,1,4,6,67,A
6,64,0,7,9,54,A
2,60,1,4,7,39,A
7,99,0,7,3,93,A
2,98,0,8,0,76,A
2,60,1,9,4,39,A
1,67,1,8,0,38,A
3,87,1,8,3,69,A
6,97,1,7,6,88,A
8,59,0,6,6,54,A
9,73,0,9,0,68,A
7,44,0,4,8,33,A
4,57,0,6,1,40,A
6,99,0,6,4,87,A
5,78,1,5,5,64,A
8,82,1,4,0,70,A
1,96,0,7,1,70,A
1,96,1,5,6,72,A
6,50,0,5,5,38,A
2,93,0,8,5,71,A
5,56,1,7,5,40,A
1,87,0,6,6,58,A
7,84,1,9,9,77,A
1,61,0,6,8,38,A
4,76,1,6,8,60,A
9,59,0,8,1,57,A
1,87,0,6,1,63,A
4,99,1,4,4,82,A
6,93,0,6,9,84,A
6,93,0,6,6,84,A
8,87,1,4,2,77,A
1,87,1,8,2,61,A
7,85,1,5,3,73,A
1,45,0,7,2,15,A
7,73,1,8,2,64,A
3,53,1,6,7,33,A
8,87,1,5,6,78,A
3,62,0,7,6,43,A
1,59,1,7,9,34,A
8,52,0,7,1,48,A
3,86,0,4,8,66,A
2,83,1,4,5,60,A
1,80,0,5,2,53,A
3,71,0,6,8,51,A
2,65,0,5,8,43,A
2,89,0,6,5,68,A
6,92,0,8,9,80,A
1,53,1,7,5,26,A
2,91,1,7,7,70,A
6,96,1,4,7,85,A
3,75,0,8,5,57,A
4,47,1,9,6,30,A
1,79,0,8,3,56,A
8,61,0,6,0,53,A
7,61,0,8,3,52,A
7,55,0,4,7,47,A
3,66,1,6,7,48,A
3,95,0,5,1,78,A
2,99,1,6,6,79,A
1,99,1,5,0,75,A
7,49,0,9,1,40,A
7,64,1,6,7,59,A
